TERM,PART_OF_TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,WAITLIST MAX,WAITLIST ACTUAL,PRIMARY INSTRUCTOR FIRST NAME,PRIMARY INSTRUCTOR LAST NAME,SECONDARY INSTRUCTOR FIRST NAME,SECONDARY INSTRUCTOR LAST NAME,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BLD,ROOM,MODALITY CODE,MODALITY TEXT
202310,Full Term,VCU Life Sciences,ENVS,ENVS691,2,43989,LEC,1,1,TOPICS: TEACHING PRACTICUM,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,,,RINS,Directed Instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS691,3,43990,LEC,3,3,TOPICS: TEACHING PRACTICUM,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,,,RINS,Directed Instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS692,1,43789,IND,1,1,INDEPENDENT STUDY,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,OL,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS692,2,43790,IND,2,2,INDEPENDENT STUDY,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,OL,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS692,3,12733,IND,3,3,INDEPENDENT STUDY,,0,2,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS693,1,43791,FLD,1,1,INTERNSHP-ENVIRONMENTL STUDIES,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,,,RONF,Blended-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS693,2,43792,FLD,2,2,INTERNSHP-ENVIRONMENTL STUDIES,,0,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,,,RONF,Blended-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS693,3,12736,FLD,3,3,INTERNSHIP-ENVIRONMNTL STUDIES,,0,2,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,,,RONF,Blended-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS697,1,12737,RES,1,1,RESEARCH,,15,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS697,2,12738,RES,2,2,RESEARCH,,15,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS697,3,12739,RES,3,3,RESEARCH,,15,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS698,1,37047,MST,1,1,THESIS,,15,1,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS698,2,43793,MST,2,2,THESIS,,15,0,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,OL,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS698,3,24286,MST,3,3,THESIS,,15,1,0,0,Daniel,McGarvey,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVZ105,L52,41605,LAB,1,1,PHYSICAL GEOLOGY LABORATORY,ENVZ 105 Physical Geology Laboratory,18,17,0,0,Arif,Sikder,,,8/23/22,12/12/22,,,W,,,,,1700,1840,LFSCB,232,RINP,Face-to-Face instruction
