TERM,COURSE,SECT,CRN,CRED,TITLE,SEATS,INSTRUCTOR ,PROFESSOR,MON,TUE,WED,THU,FRI,START,END,BLD,ROOM,MODALITY ,,,
202320,ENVS291,1,42879,3,ST:HEALTHY FOOD:BEHAV & ENVIR,20,Jonathan,Jones,,T,,R,,930,1045,LFSCB,,,,,
202320,ENVS591,906,38797,3,TOP:AIR POLLUTION & ITS CNTRL,15,Timothy,Kelly,,,W,,,1900,2140,ONLNE,,ROND,Online-synchronous instruction,,
202320,ENVS541,901,32122,3,PRINCIPLES OF WASTE MANAGEMENT,15,Timothy,Kelly,M,,,,,1900,2140,ONLNE,,ROND,Online-synchronous instruction,,
202320,ENVS461,1,39520,3,WILDERNESS POLICY & PRACTICE,0,Christina,Spohn,,T,,,,900,1100,,,RINP,Face-to-Face instruction,,
202320,ENVS491,1,41181,2,TOP: AVIAN ECOL & CONS,15,Lesley,Bulluck,,,W,,,1000,1150,LFSCB,235,RINP,Face-to-Face instruction,,
202320,ENVS491,2,41187,2,TOP: AVIAN ECOL & CONS LAB,0,Lesley,Bulluck,,,,,F,700,1100,LFSCB,235,RINP,Face-to-Face instruction,,
202320,ENVS491,4,38362,3,TOP:INVAS SP MGMT URBAN PARKS,16,Edward,Crawford,,,,,F,1300,1540,LFSCB,116,RINP,Face-to-Face instruction,,
202320,ENVS491,5,38270,3,TOP: FOOD & ENVIRONMENT,50,Stephen,McIninch,,T,,R,,1230,1345,TEMPL,2223,RINP,Face-to-Face instruction,,
202320,ENVS491,902,41423,3,TOP:CHESAPEAKE BAY RESTORATION,20,Joseph,Wood,,,,,F,1600,1840,ONLNE,,ROND,Online-synchronous instruction,,
202320,ENVS591,901,42817,3,TOP: ENV RISK COMMUNICATION,20,J,Fox,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct,,
